state,county_name,year,state_po,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
ALABAMA,WASHINGTON,2016,AL,1129,US PRESIDENT,DONALD TRUMP,REPUBLICAN,6042,8533,20260225,TOTAL
ALABAMA,WASHINGTON,2016,AL,1129,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2374,8533,20260225,TOTAL
ALABAMA,WASHINGTON,2016,AL,1129,US PRESIDENT,OTHER,OTHER,117,8533,20260225,TOTAL
ALABAMA,WILCOX,2016,AL,1131,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1737,6118,20260225,TOTAL
ALABAMA,WILCOX,2016,AL,1131,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4339,6118,20260225,TOTAL
ALABAMA,WILCOX,2016,AL,1131,US PRESIDENT,OTHER,OTHER,42,6118,20260225,TOTAL
ALABAMA,WINSTON,2016,AL,1133,US PRESIDENT,DONALD TRUMP,REPUBLICAN,9228,10313,20260225,TOTAL
ALABAMA,WINSTON,2016,AL,1133,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,872,10313,20260225,TOTAL
ALABAMA,WINSTON,2016,AL,1133,US PRESIDENT,OTHER,OTHER,213,10313,20260225,TOTAL
ALASKA,DISTRICT 1,2016,AK,2001,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3180,6638,20260225,TOTAL
ALASKA,DISTRICT 1,2016,AK,2001,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2573,6638,20260225,TOTAL
ALASKA,DISTRICT 1,2016,AK,2001,US PRESIDENT,OTHER,OTHER,885,6638,20260225,TOTAL
ALASKA,DISTRICT 10,2016,AK,2010,US PRESIDENT,DONALD TRUMP,REPUBLICAN,6255,9040,20260225,TOTAL
ALASKA,DISTRICT 10,2016,AK,2010,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1808,9040,20260225,TOTAL
ALASKA,DISTRICT 10,2016,AK,2010,US PRESIDENT,OTHER,OTHER,977,9040,20260225,TOTAL
ALASKA,DISTRICT 11,2016,AK,2011,US PRESIDENT,DONALD TRUMP,REPUBLICAN,6444,9689,20260225,TOTAL
ALASKA,DISTRICT 11,2016,AK,2011,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2142,9689,20260225,TOTAL
ALASKA,DISTRICT 11,2016,AK,2011,US PRESIDENT,OTHER,OTHER,1103,9689,20260225,TOTAL
ALASKA,DISTRICT 12,2016,AK,2012,US PRESIDENT,DONALD TRUMP,REPUBLICAN,6629,9543,20260225,TOTAL
ALASKA,DISTRICT 12,2016,AK,2012,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1928,9543,20260225,TOTAL
ALASKA,DISTRICT 12,2016,AK,2012,US PRESIDENT,OTHER,OTHER,986,9543,20260225,TOTAL
ALASKA,DISTRICT 13,2016,AK,2013,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4028,6533,20260225,TOTAL
ALASKA,DISTRICT 13,2016,AK,2013,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1684,6533,20260225,TOTAL
ALASKA,DISTRICT 13,2016,AK,2013,US PRESIDENT,OTHER,OTHER,821,6533,20260225,TOTAL
